Page title is, "Subcatchment Minderhoutplus bET=3 (Minderhout+) daily, Rainfall Profile 1"
Date,Time,Soil moisture deficit (Soil moisture deficit [pdm_smd]),Actual evaporation (Actual evaporation (mm/day) [pdm_evaporation]),Rainfall (Rainfall intensity (mm/hr))
01/10/2020,00:00:00,0.900000,0.000000,0.465833
02/10/2020,00:00:00,0.883428,0.074528,0.035000
03/10/2020,00:00:00,0.882268,0.040722,0.207500
04/10/2020,00:00:00,0.875170,0.332986,0.043333
05/10/2020,00:00:00,0.874023,0.186099,0.485000
06/10/2020,00:00:00,0.857291,0.392128,0.149915
07/10/2020,00:00:00,0.852447,0.193975,0.304252
08/10/2020,00:00:00,0.842018,0.128965,0.176250
09/10/2020,00:00:00,0.836167,0.294915,0.061667
10/10/2020,00:00:00,0.834482,0.330932,0.253750
11/10/2020,00:00:00,0.826190,0.418611,0.019583
12/10/2020,00:00:00,0.826111,0.383869,0.005417
13/10/2020,00:00:00,0.826468,0.339676,0.000000
14/10/2020,00:00:00,0.826903,0.234679,0.000000
15/10/2020,00:00:00,0.827369,0.381599,0.000000
16/10/2020,00:00:00,0.827834,0.233647,0.000000
17/10/2020,00:00:00,0.828301,0.384229,0.000000
18/10/2020,00:00:00,0.828725,0.176646,0.003333
19/10/2020,00:00:00,0.829009,0.352813,0.000000
20/10/2020,00:00:00,0.829353,0.103092,0.001250
21/10/2020,00:00:00,0.829831,0.587132,0.324583
22/10/2020,00:00:00,0.819095,0.135137,0.000000
23/10/2020,00:00:00,0.819385,0.247430,0.004167
24/10/2020,00:00:00,0.819531,0.139369,0.012500
25/10/2020,00:00:00,0.819255,0.072021,0.055000
26/10/2020,00:00:00,0.817672,0.362652,0.000000
27/10/2020,00:00:00,0.818104,0.208126,0.097916
28/10/2020,00:00:00,0.815066,0.270531,0.215833
29/10/2020,00:00:00,0.807887,0.108723,0.259167
30/10/2020,00:00:00,0.799185,0.200721,0.019167
31/10/2020,00:00:00,0.799002,0.436024,0.054167
01/11/2020,00:00:00,0.797516,0.064058,0.085173
02/11/2020,00:00:00,0.794860,0.303629,0.229410
03/11/2020,00:00:00,0.787534,0.414368,0.000000
04/11/2020,00:00:00,0.788133,0.377733,0.000000
05/11/2020,00:00:00,0.788615,0.259871,0.000000
06/11/2020,00:00:00,0.789119,0.406888,0.000000
07/11/2020,00:00:00,0.789707,0.370483,0.000000
08/11/2020,00:00:00,0.790190,0.268501,0.000000
09/11/2020,00:00:00,0.790604,0.278207,0.000000
10/11/2020,00:00:00,0.790997,0.242444,0.021250
11/11/2020,00:00:00,0.790534,0.111311,0.000000
12/11/2020,00:00:00,0.790791,0.227466,0.105416
13/11/2020,00:00:00,0.787419,0.087002,0.106667
14/11/2020,00:00:00,0.784042,0.274558,0.020833
15/11/2020,00:00:00,0.783707,0.228206,0.295000
16/11/2020,00:00:00,0.773924,0.128749,0.005833
17/11/2020,00:00:00,0.773927,0.139476,0.005833
18/11/2020,00:00:00,0.774193,0.477013,0.000000
19/11/2020,00:00:00,0.774626,0.096334,0.034583
20/11/2020,00:00:00,0.773664,0.193291,0.043333
21/11/2020,00:00:00,0.772489,0.204830,0.000000
22/11/2020,00:00:00,0.772648,0.005387,0.118750
23/11/2020,00:00:00,0.768694,0.098242,0.000000
24/11/2020,00:00:00,0.768937,0.223596,0.000000
25/11/2020,00:00:00,0.769226,0.158005,0.000000
26/11/2020,00:00:00,0.769415,0.092566,0.000000
27/11/2020,00:00:00,0.769534,0.065315,0.013333
28/11/2020,00:00:00,0.769238,0.141654,0.000000
29/11/2020,00:00:00,0.769378,0.043566,0.000000
30/11/2020,00:00:00,0.769410,0.000000,0.200000
01/12/2020,00:00:00,0.762706,0.094574,0.123333
02/12/2020,00:00:00,0.758608,0.000000,0.001667
03/12/2020,00:00:00,0.758552,0.000000,0.173642
04/12/2020,00:00:00,0.752834,0.189192,0.018441
05/12/2020,00:00:00,0.752430,0.103322,0.000000
06/12/2020,00:00:00,0.752508,0.000000,0.000000
07/12/2020,00:00:00,0.752521,0.017216,0.088333
